county,pid
Anderson,5
Andrews,1
Angelina,8
Aransas,2
Archer,1
Atascosa,5
Austin,3
Bailey,2
Bandera,2
Bastrop,4
Baylor,2
Bee,2
Bell,17
Bexar,63
Bosque,4
Bowie,7
Brazoria,11
Brazos,7
Brewster,1
Brooks,1
Brown,6
Burleson,3
Burnet,3
Caldwell,5
Calhoun,2
Callahan,2
Cameron,12
Camp,2
Cass,5
Castro,1
Chambers,1
Cherokee,9
Childress,2
Clay,2
Coke,2
Coleman,3
Collin,27
Collingsworth,2
Colorado,6
Comal,6
Comanche,3
Concho,2
Cooke,5
Coryell,4
Crane,1
Crosby,1
Dallam,1
Dallas,79
Dawson,2
DeWitt,3
Deaf Smith,2
Delta,1
Denton,17
Dimmit,2
Duval,1
Eastland,5
Ector,5
El Paso,21
Ellis,9
Erath,4
Falls,2
Fannin,7
Fayette,5
Floyd,2
Foard,1
Fort Bend,18
Franklin,1
Freestone,3
Frio,2
Gaines,1
Galveston,13
Garza,1
Gillespie,4
Goliad,1
Gonzales,3
Gray,3
Grayson,11
Gregg,14
Grimes,3
Guadalupe,8
Hale,3
Hall,1
Hamilton,4
Hansford,2
Hardin,5
Harris,114
Harrison,3
Haskell,2
Hays,6
Henderson,7
Hidalgo,22
Hill,5
Hockley,2
Hood,4
Hopkins,4
Houston,4
Howard,3
Hunt,5
Hutchinson,3
Jack,1
Jackson,3
Jasper,4
Jefferson,13
Jim Hogg,1
Jim Wells,2
Johnson,8
Jones,3
Karnes,2
Kaufman,7
Kendall,6
Kerr,7
Kimble,1
Kleberg,2
Knox,1
La Salle,1
Lamar,5
Lamb,3
Lampasas,3
Lavaca,8
Lee,2
Leon,1
Liberty,5
Limestone,7
Live Oak,1
Llano,2
Lubbock,12
Lynn,1
Madison,2
Marion,2
Martin,1
Matagorda,4
Maverick,2
McCulloch,1
McLennan,16
Medina,5
Menard,1
Midland,5
Milam,3
Mills,1
Mitchell,1
Montague,2
Montgomery,10
Moore,2
Morris,1
Nacogdoches,7
Navarro,5
Newton,1
Nolan,2
Nueces,17
Ochiltree,1
Orange,3
Palo Pinto,3
Panola,3
Parker,8
Parmer,2
Pecos,2
Polk,4
Potter,8
Rains,1
Randall,3
Red River,2
Reeves,1
Refugio,1
Robertson,3
Rockwall,6
Runnels,3
Rusk,3
Sabine,2
San Augustine,3
San Jacinto,1
San Patricio,2
Scurry,3
Shelby,3
Smith,15
Somervell,2
Starr,2
Stephens,2
Sterling,1
Stonewall,1
Swisher,2
Tarrant,74
Taylor,10
Terry,3
Titus,3
Tom Green,6
Travis,29
Trinity,3
Tyler,2
Upshur,2
Upton,1
Uvalde,3
Val Verde,3
Van Zandt,5
Victoria,5
Walker,4
Waller,1
Ward,2
Washington,4
Webb,5
Wharton,4
Wheeler,2
Wichita,14
Wilbarger,2
Willacy,1
Williamson,15
Wilson,5
Winkler,1
Wise,3
Wood,7
Yoakum,2
Young,4
Zapata,1
