month,county,pid
2018-12-01,Anderson,2.0
2018-12-01,Andrews,0.0
2018-12-01,Angelina,6.0
2018-12-01,Aransas,2.0
2018-12-01,Archer,0.0
2018-12-01,Armstrong,0.0
2018-12-01,Atascosa,5.0
2018-12-01,Austin,2.0
2018-12-01,Bailey,1.0
2018-12-01,Bandera,1.0
2018-12-01,Bastrop,4.0
2018-12-01,Baylor,1.0
2018-12-01,Bee,0.0
2018-12-01,Bell,14.0
2018-12-01,Bexar,40.0
2018-12-01,Blanco,0.0
2018-12-01,Borden,0.0
2018-12-01,Bosque,2.0
2018-12-01,Bowie,7.0
2018-12-01,Brazoria,7.0
2018-12-01,Brazos,6.0
2018-12-01,Brewster,1.0
2018-12-01,Briscoe,0.0
2018-12-01,Brooks,1.0
2018-12-01,Brown,3.0
2018-12-01,Burleson,2.0
2018-12-01,Burnet,1.0
2018-12-01,Caldwell,3.0
2018-12-01,Calhoun,1.0
2018-12-01,Callahan,1.0
2018-12-01,Cameron,12.0
2018-12-01,Camp,2.0
2018-12-01,Carson,0.0
2018-12-01,Cass,2.0
2018-12-01,Castro,1.0
2018-12-01,Chambers,1.0
2018-12-01,Cherokee,6.0
2018-12-01,Childress,0.0
2018-12-01,Clay,0.0
2018-12-01,Cochran,0.0
2018-12-01,Coke,0.0
2018-12-01,Coleman,0.0
2018-12-01,Collin,21.0
2018-12-01,Collingsworth,0.0
2018-12-01,Colorado,2.0
2018-12-01,Comal,5.0
2018-12-01,Comanche,1.0
2018-12-01,Concho,0.0
2018-12-01,Cooke,5.0
2018-12-01,Coryell,3.0
2018-12-01,Cottle,0.0
2018-12-01,Crane,0.0
2018-12-01,Crockett,0.0
2018-12-01,Crosby,0.0
2018-12-01,Culberson,0.0
2018-12-01,Dallam,0.0
2018-12-01,Dallas,53.0
2018-12-01,Dawson,0.0
2018-12-01,Deaf Smith,0.0
2018-12-01,Delta,0.0
2018-12-01,Denton,15.0
2018-12-01,DeWitt,2.0
2018-12-01,Dickens,0.0
2018-12-01,Dimmit,2.0
2018-12-01,Donley,0.0
2018-12-01,Duval,1.0
2018-12-01,Eastland,2.0
2018-12-01,Ector,2.0
2018-12-01,Edwards,0.0
2018-12-01,Ellis,8.0
2018-12-01,El Paso,19.0
2018-12-01,Erath,2.0
2018-12-01,Falls,1.0
2018-12-01,Fannin,4.0
2018-12-01,Fayette,4.0
2018-12-01,Fisher,0.0
2018-12-01,Floyd,1.0
2018-12-01,Foard,0.0
2018-12-01,Fort Bend,15.0
2018-12-01,Franklin,0.0
2018-12-01,Freestone,2.0
2018-12-01,Frio,1.0
2018-12-01,Gaines,1.0
2018-12-01,Galveston,13.0
2018-12-01,Garza,0.0
2018-12-01,Gillespie,3.0
2018-12-01,Glasscock,0.0
2018-12-01,Goliad,0.0
2018-12-01,Gonzales,3.0
2018-12-01,Gray,1.0
2018-12-01,Grayson,10.0
2018-12-01,Gregg,9.0
2018-12-01,Grimes,3.0
2018-12-01,Guadalupe,4.0
2018-12-01,Hale,2.0
2018-12-01,Hall,0.0
2018-12-01,Hamilton,3.0
2018-12-01,Hansford,2.0
2018-12-01,Hardeman,0.0
2018-12-01,Hardin,5.0
2018-12-01,Harris,97.0
2018-12-01,Harrison,3.0
2018-12-01,Hartley,0.0
2018-12-01,Haskell,0.0
2018-12-01,Hays,6.0
2018-12-01,Hemphill,0.0
2018-12-01,Henderson,5.0
2018-12-01,Hidalgo,16.0
2018-12-01,Hill,4.0
2018-12-01,Hockley,2.0
2018-12-01,Hood,4.0
2018-12-01,Hopkins,4.0
2018-12-01,Houston,2.0
2018-12-01,Howard,1.0
2018-12-01,Hudspeth,0.0
2018-12-01,Hunt,4.0
2018-12-01,Hutchinson,2.0
2018-12-01,Irion,0.0
2018-12-01,Jack,0.0
2018-12-01,Jackson,2.0
2018-12-01,Jasper,3.0
2018-12-01,Jeff Davis,0.0
2018-12-01,Jefferson,8.0
2018-12-01,Jim Hogg,0.0
2018-12-01,Jim Wells,1.0
2018-12-01,Johnson,7.0
2018-12-01,Jones,0.0
2018-12-01,Karnes,0.0
2018-12-01,Kaufman,2.0
2018-12-01,Kendall,3.0
2018-12-01,Kenedy,0.0
2018-12-01,Kent,0.0
2018-12-01,Kerr,6.0
2018-12-01,Kimble,1.0
2018-12-01,King,0.0
2018-12-01,Kinney,0.0
2018-12-01,Kleberg,1.0
2018-12-01,Knox,0.0
2018-12-01,Lamar,5.0
2018-12-01,Lamb,2.0
2018-12-01,Lampasas,2.0
2018-12-01,La Salle,0.0
2018-12-01,Lavaca,4.0
2018-12-01,Lee,2.0
2018-12-01,Leon,0.0
2018-12-01,Liberty,4.0
2018-12-01,Limestone,5.0
2018-12-01,Lipscomb,0.0
2018-12-01,Live Oak,1.0
2018-12-01,Llano,2.0
2018-12-01,Loving,0.0
2018-12-01,Lubbock,10.0
2018-12-01,Lynn,1.0
2018-12-01,McCulloch,0.0
2018-12-01,McLennan,14.0
2018-12-01,McMullen,0.0
2018-12-01,Madison,2.0
2018-12-01,Marion,2.0
2018-12-01,Martin,0.0
2018-12-01,Mason,0.0
2018-12-01,Matagorda,2.0
2018-12-01,Maverick,2.0
2018-12-01,Medina,1.0
2018-12-01,Menard,0.0
2018-12-01,Midland,2.0
2018-12-01,Milam,2.0
2018-12-01,Mills,0.0
2018-12-01,Mitchell,0.0
2018-12-01,Montague,1.0
2018-12-01,Montgomery,6.0
2018-12-01,Moore,0.0
2018-12-01,Morris,1.0
2018-12-01,Motley,0.0
2018-12-01,Nacogdoches,6.0
2018-12-01,Navarro,5.0
2018-12-01,Newton,0.0
2018-12-01,Nolan,1.0
2018-12-01,Nueces,9.0
2018-12-01,Ochiltree,1.0
2018-12-01,Oldham,0.0
2018-12-01,Orange,2.0
2018-12-01,Palo Pinto,3.0
2018-12-01,Panola,2.0
2018-12-01,Parker,7.0
2018-12-01,Parmer,1.0
2018-12-01,Pecos,1.0
2018-12-01,Polk,3.0
2018-12-01,Potter,7.0
2018-12-01,Presidio,0.0
2018-12-01,Rains,0.0
2018-12-01,Randall,3.0
2018-12-01,Reagan,0.0
2018-12-01,Real,0.0
2018-12-01,Red River,2.0
2018-12-01,Reeves,0.0
2018-12-01,Refugio,1.0
2018-12-01,Roberts,0.0
2018-12-01,Robertson,2.0
2018-12-01,Rockwall,5.0
2018-12-01,Runnels,0.0
2018-12-01,Rusk,2.0
2018-12-01,Sabine,1.0
2018-12-01,San Augustine,3.0
2018-12-01,San Jacinto,1.0
2018-12-01,San Patricio,2.0
2018-12-01,San Saba,0.0
2018-12-01,Schleicher,0.0
2018-12-01,Scurry,1.0
2018-12-01,Shackelford,0.0
2018-12-01,Shelby,3.0
2018-12-01,Sherman,0.0
2018-12-01,Smith,13.0
2018-12-01,Somervell,2.0
